frame_index,timestamp_seconds,threshold,detected_count,true_positives,false_positives,false_negatives,occlusion_level,notes
25,0.453,0.20,33,26,7,0,medium,"bag, empty-space, and extra/duplicate detections"
25,0.453,0.40,17,16,1,10,medium,"bag detected as person"
25,0.453,0.60,10,10,0,16,medium,""
76,1.377,0.20,32,26,6,0,medium,"crowded low-threshold output"
76,1.377,0.40,13,13,0,13,medium,""
76,1.377,0.60,7,7,0,19,medium,""
128,2.320,0.20,35,26,9,0,medium,"bags and extra/duplicate detections"
128,2.320,0.40,15,15,0,11,medium,""
128,2.320,0.60,7,7,0,19,medium,""
179,3.244,0.20,35,27,8,0,medium,"includes two cropped spectators; bag detected as person"
179,3.244,0.40,16,16,0,11,medium,""
179,3.244,0.60,8,8,0,19,medium,""
230,4.168,0.20,28,23,5,2,high,"maul starting; crowded detections"
230,4.168,0.40,18,18,0,7,high,"some boxes poorly localized"
230,4.168,0.60,11,11,0,14,high,"one box spans two people"
281,5.092,0.20,22,21,1,2,high,"touch judge flag detected as person"
281,5.092,0.40,15,15,0,8,high,""
281,5.092,0.60,11,11,0,12,high,""
332,6.017,0.20,20,14,6,4,high,"maul; crowded output"
332,6.017,0.40,14,12,2,6,high,"partial/cropped person visible"
332,6.017,0.60,11,11,0,7,high,""
384,6.959,0.20,26,11,15,7,high,"dense maul; overlapping boxes difficult to inspect"
384,6.959,0.40,12,12,0,6,high,""
384,6.959,0.60,8,8,0,10,high,"one box spans two people"
435,7.883,0.20,20,16,4,0,high,"maul; one person visible mainly as legs"
435,7.883,0.40,12,12,0,4,high,""
435,7.883,0.60,9,9,0,7,high,""
486,8.808,0.20,13,12,1,2,high,"maul with sideline people and touch judge"
486,8.808,0.40,11,11,0,3,high,"one poorly localized box"
486,8.808,0.60,11,11,0,3,high,""
537,9.732,0.20,14,14,0,0,high,"close-up maul"
537,9.732,0.40,11,11,0,3,high,""
537,9.732,0.60,11,11,0,3,high,""
588,10.656,0.20,18,15,3,0,high,"maul; crowded boxes"
588,10.656,0.40,12,12,0,3,high,""
588,10.656,0.60,8,8,0,7,high,""
640,11.598,0.20,22,17,5,0,high,"maul; some players partially hidden"
640,11.598,0.40,11,11,0,6,high,"some boxes only cover heads but still correspond to people"
640,11.598,0.60,6,6,0,11,high,""
691,12.523,0.20,18,15,3,0,high,"maul; low-threshold boxes difficult to inspect"
691,12.523,0.40,12,12,0,3,high,""
691,12.523,0.60,9,9,0,6,high,""
742,13.447,0.20,22,9,13,6,high,"maul; many overlapping or duplicate detections"
742,13.447,0.40,11,11,0,4,high,"one poorly localized box"
742,13.447,0.60,8,8,0,7,high,"one box spans two people"
793,14.371,0.20,20,9,11,5,high,"end of maul; overlapping boxes difficult to separate"
793,14.371,0.40,13,13,0,1,high,"cropped legs still clearly belong to a person"
793,14.371,0.60,8,8,0,6,high,""
844,15.295,0.20,8,8,0,0,medium,"blurry running scene"
844,15.295,0.40,7,7,0,1,medium,"one box spans two people"
844,15.295,0.60,7,7,0,1,medium,"one box spans two people"
896,16.238,0.20,15,12,3,1,medium,"one box may span two people"
896,16.238,0.40,10,10,0,3,medium,""
896,16.238,0.60,7,7,0,6,medium,""
947,17.162,0.20,23,20,3,4,medium,"overlapping boxes make low-threshold review difficult"
947,17.162,0.40,16,16,0,8,medium,""
947,17.162,0.60,7,7,0,17,medium,""
998,18.086,0.20,27,21,6,3,medium,"overlapping boxes make low-threshold review difficult"
998,18.086,0.40,15,15,0,9,medium,""
998,18.086,0.60,5,5,0,19,medium,""
